Observation id	2013_002							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2013_002.mp4							
								
Observation date	2020-04-30 12:07:28							
								
Description	2013_002							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	yes							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
290.772	G:/Oxford/Videos/Bossou videos/2013_002.mp4	716.660	25.0	Fanwaa	Solo Play	Solo Play		POINT
