Observation id	20120206093114							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2012/Bureau/63554247-263d-4dbb-88a0-020cad42c143/unfinished/20120206093114.mp4							
								
Observation date	2020-11-10 11:09:24							
								
Description	 a75298e8-3159-4681-97f2-cddf8b5a3c74 							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
