Observation id	2013_001							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2013_001.mp4							
								
Observation date	2020-04-30 12:25:41							
								
Description	2013_001							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	yes							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
310.772	G:/Oxford/Videos/Bossou videos/2013_001.mp4	739.700	25.0	Fanwaa	Solo Play	Solo Play		POINT
693.772	G:/Oxford/Videos/Bossou videos/2013_001.mp4	739.700	25.0	Fanwaa	Solo Play	Solo Play		POINT
