Observation id	2013_011												
													
Media file(s)													
													
Player #1	G:/Oxford/Videos/Bossou videos/2013_011.mp4												
													
Observation date	2020-04-29 15:26:04												
													
Description	2013_011												
													
Time offset (s)	0.0												
													
independent variables													
variable	value												
Observer	Alex												
Group	Bossou												
Date/Time	2000-01-01T00:00:00												
Contains play	yes												
Coded	yes												
													
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Comment	Status
102.774	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	Grabble/Wrestle	None	None	Play Face	None		POINT
106.772	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Break	Break							POINT
109.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Break	Break							POINT
111.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	Head down	Peer	None	None		POINT
114.274	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	Retreat	None	None	None		POINT
115.022	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Break	Break							POINT
121.771	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	Approach,Arm wave	None	None	None		POINT
122.022	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Flee	None	None	None		POINT
122.272	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	Bipedal,Chase	None	None	None		POINT
124.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Break	Break							POINT
124.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Break	Break							POINT
125.772	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Arm swing,Retreat	None	None	None		POINT
126.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Break	Break							POINT
129.272	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0		End	End	Ignore	Yes					POINT
138.272	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0		Players	Players	Fanwaa,Flanle	Yes					POINT
140.021	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	Bipedal,Pirouette	None	None	None		POINT
141.272	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Arm swing,Bipedal	None	None	None		POINT
142.271	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Approach,Walk_stiff	None	None	None		POINT
142.772	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	Slap	Approach,Bipedal	None	Play Face	None		POINT
143.772	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Pass	None	None	None		POINT
145.022	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Break	Break							POINT
145.272	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	Hold	None	None	None	None		POINT
148.021	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Break	Break							POINT
149.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	None	Peer	None	None		POINT
151.271	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Rake ground	None	None	None		POINT
153.022	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Flanle	Play Element	Play Element	None	Pass	None	None	None		POINT
153.522	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	None	Arm raise,Bipedal	None	Play Face	None		POINT
154.021	G:/Oxford/Videos/Bossou videos/2013_011.mp4	446.900	25.0	Fanwaa	Play Element	Play Element	Hit,Kick	None	None	Play Face	None		POINT
