Observation id	2013_014												
													
Media file(s)													
													
Player #1	G:/Oxford/Videos/Bossou videos/2013_014.mp4												
													
Observation date	2020-04-29 12:34:42												
													
Description	2013_014												
													
Time offset (s)	0.0												
													
independent variables													
variable	value												
Observer	Alex												
Group	Bossou												
Date/Time	2000-01-01T00:00:00												
Contains play	yes												
Coded	yes												
													
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Comment	Status
57.522	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0		Players	Players	Fanle,Fanwaa	No	Fana,Fanle,Fanwaa,Flanle,Foaf,Jeje,Jire,Velu,Yo				POINT
57.772	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Mount	None	None	None	Face_invisible		POINT
58.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Hold	None	None	None	Face_invisible		POINT
59.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Mount	Bite	None	None	None		POINT
60.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Mount	None	None	None	None		POINT
64.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold,Mount	None	None	None	Play-Face		POINT
66.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Mount	Bite	None	None	Play-Face		POINT
68.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold	None	Head-down	None	Face_invisible		POINT
68.522	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Hold	None	None	None	None		POINT
70.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold,Shake-off	None	None	None	Face_invisible		POINT
73.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold	Bite	None	None	None		POINT
74.522	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	None	Hit	None	None	Play-Face		POINT
75.274	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Mount	None	None	None	Face_invisible		POINT
75.772	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Hold	None	None	None	Play-Face		POINT
76.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Mount	None	None	None	Play-Face		POINT
77.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Grabble/Wrestle,Mount	None	None	None	Face_invisible		POINT
78.522	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Grabble/Wrestle,Mount	Pull	None	None	Face_invisible		POINT
81.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold,Mount	Bite	None	None	Face_invisible		POINT
86.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Hold	None	None	None	Face_invisible		POINT
86.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Grabble/Wrestle,Mount	None	None	None	Face_invisible		POINT
90.021	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Grabble/Wrestle,Mount	Bite	None	None	Face_invisible		POINT
92.521	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Embrace	None	None	None	Play-Face		POINT
92.771	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold	None	None	None	Face_invisible		POINT
94.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Shake-off	None	None	None	Face_invisible		POINT
95.021	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Hold	None	None	None	Play-Face		POINT
95.772	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Play Element	Play Element	Hold	None	None	None	Face_invisible		POINT
96.522	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Shake-off	None	Head-down	None	Face_invisible		POINT
98.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanle	Break	Break							POINT
100.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Play Element	Play Element	Hold,Mount	None	None	None	Play-Face		POINT
104.022	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0	Fanwaa	Break	Break							POINT
104.272	G:/Oxford/Videos/Bossou videos/2013_014.mp4	307.220	25.0		End	End	Ignore	Yes					POINT
