Observation id	20120205173637							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2012/Bureau/63554247-263d-4dbb-88a0-020cad42c143/20120205173637.mp4							
								
Observation date	2020-10-16 17:29:38							
								
Description	 4daab16e-0146-4db8-8f07-9b4cf10b3750 							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
97.260	G:/Oxford/Videos/Bossou videos/2012/Bureau/63554247-263d-4dbb-88a0-020cad42c143/20120205173637.mp4	420.950	29.97		Solo Play	Solo Play	"Solo play Joya Stone
"	POINT
